"Table 14. Potash used on corn, rate per fertilized acre receiving potash, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,33,NA,37,NA,25,NA,NA,NA,NA,33,NA,NA,NA,28,NA,31
Ohio,53,51,62,70,74,76,84,73,81,82,83,68,82,100,91,101,106,114,104,98,102,97,102,109,111,101,101,103,96,105,100,98,98,98,119,100,97,120,113,101,NA,101,NA,NA,NA,NA,91,NA,NA,NA,96,NA,108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,NA,52,49,47,50,56,51,54,56,58,52,48,51,56,59,58,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,40,NA,39,NA,35,41,NA,35,NA,48,NA,NA,NA,NA,52,NA,NA,NA,42,NA,47
South Carolina,43,51,68,71,81,78,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,10,17,13,30,14,12,13,13,20,16,11,18,14,18,19,18,16,17,20,18,18,16,23,20,26,23,24,22,19,22,28,19,20,22,22,24,21,30,NA,26,NA,26,NA,NA,NA,NA,29,NA,NA,NA,40,NA,46
Tennessee,45,48,50,52,59,59,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,21,20,23,22,34,22,23,NA,NA,NA,NA,NA,36,57,NA,23,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,28,NA,31,28,28,25,NA,25,NA,18,NA,NA,NA,NA,17,NA,NA,NA,23,NA,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,71,74,88,89,87,94,90,109,94,104,110,96,124,105,91,83,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,45,47,63,73,78,75,82,71,78,86,88,84,105,87,89,91,85,91,91,86,84,69,70,82,77,73,74,69,62,64,60,62,61,69,53,54,51,65,63,70,NA,60,NA,NA,NA,NA,53,NA,NA,NA,64,NA,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,
U.S. average 1/,41,48,57,60,65,67,72,64,69,71,73,67,78,82,80,84,86,86,86,85,87,84,80,85,85,81,84,81,79,79,80,78,79,81,82,81,79,83,85,85,NA,84,NA,NA,NA,NA,79,NA,NA,NA,82,NA,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's application rates, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2010):  http://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
