"Table 12. Phosphate used on corn, rate per fertilized acre receiving phosphate fertilizer, selected States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Pounds/acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45,NA,50,NA,45,NA,NA,NA,NA,44,NA,NA,NA,54,NA,62
Ohio,56,56,68,71,75,77,83,70,81,79,68,64,80,90,86,82,79,80,71,78,79,68,73,76,80,72,72,75,69,71,70,70,87,73,71,71,69,73,67,75,NA,75,NA,NA,NA,NA,64,NA,NA,NA,73,NA,73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,NA,61,67,64,63,64,66,65,66,69,61,59,66,72,77,69,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,58,NA,50,NA,44,48,NA,50,NA,47,NA,NA,NA,NA,47,NA,NA,NA,41,NA,41
South Carolina,43,50,56,57,67,63,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,28,26,26,36,33,31,36,27,29,31,23,30,34,24,38,33,29,30,36,38,34,35,38,38,38,33,42,36,38,38,39,36,34,37,39,43,39,45,NA,47,NA,44,NA,NA,NA,NA,51,NA,NA,NA,46,NA,51
Tennessee,44,50,50,53,58,56,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,37,36,42,50,43,55,40,NA,NA,NA,NA,NA,53,49,NA,47,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,43,48,45,47,NA,45,NA,44,NA,NA,NA,NA,36,NA,NA,NA,46,NA,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,60,64,77,71,67,71,70,77,73,80,79,72,84,81,80,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,46,48,56,51,75,64,69,65,61,61,55,55,60,60,71,57,58,60,57,56,57,49,53,56,56,55,52,44,44,44,43,43,39,42,42,35,39,40,32,41,NA,37,NA,NA,NA,NA,44,NA,NA,NA,38,NA,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,
U.S. average 1/,41,50,57,60,64,64,71,62,66,64,62,58,67,68,68,69,66,67,65,64,65,60,61,61,63,59,60,60,57,56,57,56,57,57,54,54,57,57,60,59,NA,58,NA,NA,NA,NA,60,NA,NA,NA,64,NA,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA = Not available. Source data cover selected States in selected years; NA reflects State/crop/nutrient instances with no coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  U.S. average is average of State's application rates, weighted by State's planted acres receiving fertilizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Taylor (1964-93), NASS' Agricultural Chemical Usage (1994-2010):  http://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,
,,,,,,,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
